# define collections
# define_collection, <collection_type>, <collection_id>, <collection_name>,
# <collection_description>

define_collection, static, sports_collection, sports, cool sports apps
define_collection, dynamic, cricket_collection, cricket, cricket apps
define_collection, static, soccer_collection, soccer, soccer apps

# add content to collections
# add_collection_content, <collection_id>, <content_type>, <content_id>

add_collection_content, sports_collection, product, Yahoo!_Sports
add_collection_content, sports_collection, product, Score_Center
add_collection_content, sports_collection, collection, cricket_collection
add_collection_content, sports_collection, collection, soccer_collection
add_collection_content, soccer_collection, product, Sky_Sports
add_collection_content, soccer_collection, product, Fox_Soccer
add_collection_content, soccer_collection, product, LiveScore

# set search criteria for dynamic cricket_collection, dynamic collection
# criteria are specified as with product api search criteria
# set_dynamic_criteria, <collection_id>, <category list>, <text search>,
# <minimum rating>, <max price>, <language list>, <country code>,
# <device id>, <content type list>

set_dynamic_criteria, cricket_collection, , Cricket, , , , , , 

