
#Sample Authentication Data:

# define service
# define_service, <service_id>, <service_name>, <service_description>
define_service,  product_api_service, Product API Service, Product Management and Access
define_service,  collection_service, Collection Service, Collection Management and Access
define_service,  authentication_service, Authentication Service, Manage Authentication Configuration and Control Access to Restricted Service Interfaces


# define permissions
# define_permission, <service_id>, <permission_id>, <permission_name>, <permission_description>
define_permission, collection_service, create_collection, Create Collection Permission, Permission to create a new collection
define_permission, collection_service, add_content, Add Collection Content Permission, Permission to add content to a collection
define_permission, product_api_service, create_product, Create Product Permission, Permission to create a new product
define_permission, product_api_service, create_country, Create Country Permission, Permission to create a new country
define_permission, product_api_service, create_device, Create Device Permission, Permission to create a new device
define_permission, authentication_service, define_service, Define Service Permission, Permission to create a new service
define_permission, authentication_service, define_permission, Define Permission Permission, Permission to create a new permission
define_permission, authentication_service, define_role, Define Role Permission, Permission to create a new role
define_permission, authentication_service, add_entitlement, Add entitlement to role permission, Permission to add an entitlement to a role
define_permission, authentication_service, create_user, Create User Permission, Permission to create create a user
define_permission, authentication_service, add_credential_to_user, Add Credential to User Permission, Permission to add credentials to a user
define_permission, authentication_service, add_entitlement_to_user, Add Entitlement to User Permission, Permission to add entitlements to a user


# define roles
# define_role, <role_id>, <role_name>, <role_description>
define_role, collection_admin_role, Collection Admin, All permissions required by collection administrators
define_role, product_admin_role, Product Admin, All permissions required by Product administrators
define_role, product_developer_role, Product Developer, All permissions required by Product developer
define_role, authentication_admin_role, Authentication Admin, All permissions required by Authentication Administrator




# add entitlement (permission or role) to role
# add_entitlement_to_role, <role_id>, <entitlement_id>
add_entitlement_to_role, collection_admin_role, create_collection
add_entitlement_to_role, collection_admin_role, add_content
add_entitlement_to_role, product_admin_role, create_country
add_entitlement_to_role, product_admin_role, create_device
add_entitlement_to_role, product_developer_role, create_product
add_entitlement_to_role, authentication_admin_role, define_service
add_entitlement_to_role, authentication_admin_role, define_permission
add_entitlement_to_role, authentication_admin_role, define_role
add_entitlement_to_role, authentication_admin_role, add_entitlement
add_entitlement_to_role, authentication_admin_role, create_user
add_entitlement_to_role, authentication_admin_role, add_credential_to_user
add_entitlement_to_role, authentication_admin_role, add_entitlement_to_user

# create_user
# create_user <user_id>, <user_name>
create_user, product_admin, Product Admin
create_user, product_dev, Product Dev
create_user, collection_admin, Collection Admin
create_user, authentication_admin, Authentication Admin


# add_credential
# add_credential, <user_id>, <login_name>, <password>
add_credential, product_admin, sam, secret
add_credential, product_admin, sam2, secret2
add_credential, product_dev, joe, 1234
add_credential, collection_admin, lucy, 4567
add_credential, authentication_admin, jill, 1234567



# add entitlement
# add_entitlement_to_user,<userid>,<entitlementid>
add_entitlement_to_user, product_admin, product_admin_role
add_entitlement_to_user, product_dev, product_developer_role
add_entitlement_to_user, collection_admin, collection_admin_role
add_entitlement_to_user, authentication_admin, authentication_admin_role


# end of file


































































